field,transect,plot,soilPctC,soilPctN,lastCrop,age07
a,1,4,0.523,0.043,corn ,10
a,1,6,0.639,0.054,corn ,10
a,1,1,0.289,0.027,corn ,10
a,1,2,0.443,0.037,corn ,10
a,2,7,0.508,0.046,corn ,10
a,2,9,0.494,0.044,corn ,10
a,2,35,0.759,0.062,corn ,10
a,3,2,NA,NA,corn ,10
a,3,4,0.59,0.055,corn ,10
a,3,29,0.618,0.053,corn ,10
a,3,41,0.678,0.058,corn ,10
a,3,42,0.585,0.049,corn ,10
a,3,50,0.535,0.045,corn ,10
a,3,69,0.894,0.075,corn ,10
a,1,7,0.796,0.058,corn ,10
a,1,8,0.837,0.071,corn ,10
a,1,9,0.985,0.082,corn ,10
a,1,10,0.558,0.044,corn ,10
a,1,12,1.013,0.075,corn ,10
a,1,34,0.806,0.065,corn ,10
a,2,2,0.642,0.056,corn ,10
a,2,3,0.585,0.052,corn ,10
a,2,4,0.576,0.052,corn ,10
a,2,5,0.595,0.054,corn ,10
a,4,40,0.498,0.044,corn ,10
a,4,41,0.575,0.051,corn ,10
a,4,42,0.549,0.051,corn ,10
a,4,1,0.372,0.036,corn ,10
a,4,26,0.612,0.054,corn ,10
a,4,36,0.713,0.053,corn ,10
a,4,102,0.431,0.041,corn ,10
a,4,48,0.572,0.05,corn ,10
b,1,8,1.133,0.09,corn ,10
b,1,12,0.996,0.081,corn ,10
b,1,9,1.23,0.098,corn ,10
b,1,91,0.24,0.025,corn ,10
b,2,9,0.417,0.039,corn ,10
b,2,10,0.58,0.053,corn ,10
b,2,16,0.555,0.051,corn ,10
b,2,21,0.726,0.064,corn ,10
b,1,17,0.955,0.079,corn ,10
b,3,10,0.995,0.081,corn ,10
b,3,11,1.071,0.08,corn ,10
b,3,13,1.02,0.081,corn ,10
b,3,14,1.289,0.105,corn ,10
b,3,19,0.675,0.06,corn ,10
b,4,2,0.641,0.055,corn ,10
b,4,4,0.58,0.053,corn ,10
b,4,7,0.565,0.05,corn ,10
b,4,8,0.554,0.054,corn ,10
b,4,11,0.666,0.059,corn ,10
b,4,13,0.615,0.056,corn ,10
b,4,16,0.627,0.051,corn ,10
b,2,28,0.996,0.083,corn ,10
b,2,36,1.101,0.085,corn ,10
b,3,2,0.619,0.059,corn ,10
b,3,4,0.484,0.047,corn ,10
b,3,5,0.599,0.052,corn ,10
b,3,6,0.657,0.06,corn ,10
b,3,8,1.495,0.072,corn ,10
b,3,9,0.671,0.06,corn ,10
b,1,1,0.295,0.031,corn ,10
b,1,5,1.424,0.116,corn ,10
b,1,6,1.225,0.098,corn ,10
b,4,18,0.671,0.058,corn ,10
b,4,17,0.624,0.055,corn ,10
b,4,72,1.127,0.093,corn ,10
c,3,23,0.753,0.064,soybeans ,39
c,4,3,0.686,0.064,soybeans ,39
c,4,2,0.529,0.05,soybeans ,39
c,4,36,0.624,0.061,soybeans ,39
c,2,6,NA,NA,soybeans ,39
c,2,7,0.888,0.08,soybeans ,39
c,2,10,1.179,0.098,soybeans ,39
c,4,4,0.843,0.07,soybeans ,39
c,4,6,0.752,0.067,soybeans ,39
c,4,7,0.73,0.07,soybeans ,39
c,1,2,0.802,0.073,soybeans ,39
c,1,3,0.581,0.056,soybeans ,39
c,1,4,0.58,0.058,soybeans ,39
c,1,6,0.521,0.053,soybeans ,39
c,1,7,0.49,0.049,soybeans ,39
c,1,8,0.442,0.045,soybeans ,39
c,1,9,0.51,0.048,soybeans ,39
c,1,10,0.417,0.041,soybeans ,39
