sp,year,pctN.leaves,leafCN,height,sumleafmass,leafmass,leafarea,lma,rsr,cfr,lsr,plantmass,plantleafarea,lar,pctN.leavesvar,leafCNvar,heightvar,sumleafmassvar,leafmassvar,leafareavar,lmavar,rsrvar,cfrvar,lsrvar,plantmassvar,plantleafareavar,larvar,species,family,longevity,group,origin,seasonality,C3C4,seedsize,tArea,relArea
john,2005,1.26,34.57973425,18.33333333,0.944361111,0.115527778,14.18695203,0.007339589,0.078709304,2.104166667,9.426359127,1.136027778,128.801243,116.8293576,0.0305584,26.88453888,14.73466667,0.128562849,0.002273471,19.19393675,2.09E-06,0.002304551,1.015104167,8.812048231,0.195267405,2248.725225,459.1921235,john,Asteraceae,perennial,herb,native,NA,C3,0.05,164.1,0.00991
william,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,william,Lamiaceae,perennial,herb,native,NA,C3,0.23,62,0.00374
mary,2005,1.568833333,28.99457437,46.25,0.216888889,0.033055556,4.173645972,0.007713017,0.156875404,1.243518519,0.566631054,0.676555556,27.49927066,40.51397669,0.071942967,17.46588169,32.195,0.008511407,8.94E-05,0.551588024,1.57E-06,0.004658446,2.784202675,0.015436763,0.037661319,90.03164426,21.81092771,mary,Poaceae,perennial,grass,introduced,NA,C3,NA,962.2,0.0581
James,2005,1.430333333,30.66990473,44.56666667,1.935333333,0.014833333,1.37722,0.010807913,0.112495427,2.07037037,NA,3.2475,209.0646135,58.92083036,0.020905467,9.371897101,35.10266667,0.842255915,5.27E-05,0.253933137,5.59E-06,0.004508132,1.334798354,NA,2.042592748,27766.58166,414.3965658,James,Poaceae,perennial,grass,native,NA,C3,NA,26.5,0.0016
Charles,2005,3.299666667,13.1210745,31.9,1.21475,0.066083333,12.583082,0.005208957,0.119945091,7.033730159,3.287050652,1.933083333,230.1248405,125.0209476,0.150315867,3.362084282,25.748,0.132037375,0.000158042,2.718175031,4.64E-07,0.002873433,28.75920729,4.049510598,0.519249042,2342.384025,479.2611986,Charles,Asteraceae,annual,herb,native,NA,C3,4.02,4331.75,0.262
George,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,George,Fabaceae,perennial,shrub/legume,native,NA,C3,2.26,45,0.00272
Frank,2005,1.066,42.45170106,44.08333333,0.576166667,0.064666667,10.15430025,0.006236207,0.498362777,3.401428571,2.479427005,1.277833333,93.04330379,78.82580989,0.0098152,16.61249595,6.241666667,0.014232567,8.43E-05,2.634158054,5.11E-07,0.106783912,2.357113379,0.533228875,0.315000567,433.3871023,363.3232613,Frank,Poaceae,perennial,grass,native,NA,C4,2.89,166.35,0.01
Joseph,2006,NA,NA,37.86666667,1.3211,0.054933333,6.142138253,0.00911039,0.155437302,1.793454962,1.812593463,3.032266667,147.2035075,52.68326306,NA,NA,269.9306667,0.115955452,0.000118619,1.796323914,7.79E-07,0.001617319,0.250234975,1.207332679,2.042493019,1937.46654,218.8810408,Joseph,Ranunculaceae,perennial,herb,native,NA,C3,1.08,NA,NA
Anna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anna ,Asteraceae,perennial,herb,native,NA,C3,0.13,12,0.000725
Thomas,2005,1.518,27.3201581,70.9,0.1508,0.0058,1.114746,0.005113784,0.124505639,33,0.1178125,0.5118,29.48892512,9.603010655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57163544,NA,NA,Thomas,Brassicaceae,biennial,herb,native,NA,C3,0.08,2,0.000121
Henry,2005,1.445333333,32.21269405,20.18333333,0.015258333,0.002091667,0.330281417,0.007510564,0.109592487,0.974074074,0.340612206,0.074258333,2.351154319,31.16766702,0.037009867,25.94950371,39.24566667,2.69E-05,5.14E-07,0.006373531,1.15E-05,0.001592941,0.536440329,0.030010676,0.000421244,1.548468098,127.7401715,Henry,Poaceae,annual,grass,native,NA,C4,NA,1,6.04E-05
Robert,2006,NA,NA,40.15,1.9421,0.032766667,4.136980973,0.00779845,0.15960595,8.029241644,1.439074208,3.881766667,248.4918329,64.76907971,NA,NA,20.919,0.9264051,0.000158087,1.684660011,6.74E-07,0.006273015,13.26736838,0.156921736,3.972810727,16932.04789,59.88578788,Robert,Asteraceae,biannual,herb,native,NA,C3,0.11,45,0.00272
Edward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Edward,Asclepiadaceae,perennial,herb,native,NA,C3,4.78,32,0.00193
Harry,2005,2.760666667,13.86894521,29.23333333,0.110566667,0.004733333,1.222096333,0.00389856,0.23468537,15.74537037,0.54113351,0.458733333,28.14792286,89.95373844,0.126553067,4.43144316,100.6226667,0.005248807,9.39E-06,0.336931533,2.84E-06,0.014808661,301.0001286,0.058207107,0.085321227,179.8055047,4718.634539,Harry,Brassicaceae,biannual,herb,native,NA,C3,NA,290.75,0.0176
Emma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Emma ,Poaceae,perennial,grass,native,NA,C4,0.71,4.5,0.000272
Elizabeth,2005,1.852166667,24.877149,47.35,0.7385,0.081,10.48414133,0.007501596,0.152911037,0.40188845,2.001468664,1.312,100.6888525,79.23888379,0.074711767,9.659678882,57.795,0.0477767,0.0008604,11.40356114,1.36E-06,0.011820086,0.102459214,0.9736603,0.0844864,1096.674275,1146.695882,Elizabeth ,Poaceae,perennial,grass,introduced,NA,C3,2.5,40.6,0.00245
Walter,2005,1.049166667,42.23464376,23.76666667,0.281797222,0.029463889,5.488018611,0.005255326,0.666083898,5.923611111,3.480300014,0.626463889,53.8630103,89.57593943,0.006631367,10.21677793,9.598666667,0.002248653,4.69E-05,1.844449285,1.61E-07,0.144957928,11.61556713,2.923141817,0.025482258,95.71988499,535.4286103,Walter,Cyperaceae,perennial,graminoid,native,NA,C3,0.94,388.75,0.0235
Minnie,2005,2.756833333,15.1887847,3.766666667,0.109133333,0.0068,2.043816333,0.003253838,0.316468183,1.491666667,NA,0.1433,35.26886601,259.738518,0.049346967,1.508453023,0.550666667,0.001956299,7.55E-06,0.16178245,1.66E-06,0.018890773,0.420416667,NA,0.002748492,243.5220696,8732.520037,Minnie ,Asteraceae,annual,herb,introduced,NA,C3,NA,821.85,0.0496
Arthur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthur,Poaceae,annual,grass,introduced,NA,C4,NA,37.6,0.00227
Margaret,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Margaret ,Poaceae,perennial,grass,native,NA,C3,5.46,21.75,0.00131
Fred,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fred,Equisetaceae,perennial,horsetail,native,NA,C3,NA,1,6.04E-05
Albert,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Albert,Poaceae,perennial,grass,native,NA,C4,0.31,26.5,0.0016
Ida,2006,NA,NA,43.21666667,0.326833333,0.015,2.33741468,0.006358053,0.227346004,1.214129451,0.6160931,1.144333333,50.34391456,47.84011863,NA,NA,21.88566667,0.028089351,2.93E-05,0.504565557,3.40E-07,0.086636571,0.259467766,0.011549327,0.394286571,434.3623385,144.5713956,Ida ,Asteraceae,annual,herb,native,NA,C3,NA,355.25,0.0215
Alice,2005,1.583666667,29.16045334,80.28333333,0.283633333,0.009466667,1.360504667,0.006824662,0.104496629,36.8215812,0.156875589,3.1703,47.31339342,15.18093125,0.052698667,27.14543546,54.42566667,0.013312951,3.41E-05,0.537630347,1.03E-05,0.000826153,639.6459635,0.00052433,1.216355964,450.1693745,39.01388285,Alice ,Asteraceae,annual,herb,native,NA,C3,NA,40,0.00242
Bertha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bertha ,Euphorbiaceae,annual,herb,native,NA,C4,3.54,37.25,0.00225
Sarah,2005,1.507,29.80257331,14.7,0.377333333,0.032333333,5.458454,0.005722002,0.587688064,4.293650794,1.099225711,1.150666667,63.92213401,56.89317329,0.0132464,5.196759019,12.016,0.040145067,4.71E-05,0.810371363,3.19E-07,0.033842648,4.084051398,0.22704736,0.246257067,704.3092518,191.4043054,Sarah ,Rosaceae,perennial,herb,native,NA,C3,NA,64,0.00386
Annie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annie ,,,,,NA,,NA,10,0.000604
